      altitude      03:04:02      03:15:36      03:27:08      03:38:43      03:50:11
    0.00100000       22.9351       22.9241       22.9299       22.9605       23.0584
      0.201000       22.0362       22.0504       22.0524       22.0965       22.1899
      0.401000       30.6659       31.0226       30.9743       31.1255       31.5724
      0.601000       32.8615       33.1828       33.1595       33.2691       33.6331
      0.801000       33.9918       34.1840       34.1954       34.2927       34.5118
       1.00100       34.7705       34.8795       34.9008       34.9816       35.1131
       1.20100       35.3415       35.4049       35.4253       35.4919       35.5757
       1.40100       35.7696       35.8100       35.8264       35.8836       35.9415
       1.60100       36.0993       36.1278       36.1401       36.1924       36.2358
       1.80100       36.3537       36.3756       36.3846       36.4352       36.4704
       2.00100       36.5559       36.5734       36.5799       36.6310       36.6614
       2.20100       36.7213       36.7356       36.7402       36.7930       36.8204
       2.40100       36.8615       36.8729       36.8763       36.9312       36.9567
       2.60100       36.9825       36.9912       36.9936       37.0509       37.0749
       2.80100       37.0879       37.0939       37.0958       37.1552       37.1781
       3.00100       37.1807       37.1841       37.1856       37.2469       37.2687
       3.20100       36.8670       36.8681       36.8693       36.9310       36.9516
       3.40100       36.5284       36.5272       36.5283       36.5891       36.6083
       3.60100       36.1614       36.1583       36.1592       36.2184       36.2360
       3.80100       35.7672       35.7626       35.7633       35.8202       35.8364
       4.00100       35.3483       35.3425       35.3431       35.3971       35.4119
       4.20100       34.9073       34.9006       34.9011       34.9520       34.9654
       4.40100       34.4471       34.4398       34.4401       34.4877       34.5000
       4.60100       33.9711       33.9635       33.9637       34.0079       34.0190
       4.80100       33.4817       33.4739       33.4740       33.5150       33.5251
       5.00100       32.9814       32.9734       32.9734       33.0115       33.0207
       5.20100       32.4736       32.4657       32.4656       32.5010       32.5093
       5.40100       31.9618       31.9540       31.9539       31.9865       31.9941
       5.60100       31.4435       31.4359       31.4357       31.4658       31.4727
       5.80100       30.8913       30.8839       30.8837       30.9113       30.9175
       6.00100       30.2896       30.2825       30.2823       30.3075       30.3130
       6.20100       29.6444       29.6378       29.6376       29.6603       29.6652
       6.40100       28.9620       28.9558       28.9556       28.9760       28.9803
       6.60100       28.2479       28.2422       28.2420       28.2601       28.2639
       6.80100       27.5073       27.5020       27.5019       27.5178       27.5211
       7.00100       26.7449       26.7402       26.7400       26.7540       26.7569
       7.20100       25.9660       25.9618       25.9616       25.9738       25.9763
       7.40100       25.1765       25.1728       25.1727       25.1830       25.1850
       7.60100       24.3830       24.3801       24.3800       24.3880       24.3896
       7.80100       23.5916       23.5899       23.5898       23.5945       23.5954
