      altitude      03:04:02      03:15:36      03:27:08      03:38:43      03:50:11
    0.00100000       11.2383       15.2670       20.5367       14.7906       17.7960
      0.201000       10.1115       13.8904       19.4222       13.7734       17.7961
      0.401000       17.7146       22.6002       33.3997       25.9193       45.2254
      0.601000       23.9002       29.1535       42.7483       35.5465       70.1329
      0.801000       27.4206       32.7024       47.2861       40.6923       82.9021
       1.00100       29.6525       34.9265       49.6322       43.5605       87.6819
       1.20100       31.3659       36.6429       51.1088       45.4731       88.6779
       1.40100       32.8570       38.1577       52.2366       46.9763       88.1403
       1.60100       34.2413       39.5795       53.2107       48.2817       87.0775
       1.80100       35.5304       40.9137       54.0802       49.4447       85.9241
       2.00100       36.7529       42.1836       54.8837       50.5121       84.8367
       2.20100       37.9271       43.4038       55.6434       51.5118       83.8668
       2.40100       39.0740       44.5921       56.3786       52.4692       83.0228
       2.60100       40.1966       45.7497       57.0936       53.3919       82.3026
       2.80100       41.2920       46.8732       57.7878       54.2818       81.6985
       3.00100       42.3724       47.9730       58.4695       55.1508       81.1917
       3.20100       43.0055       48.5535       58.5283       55.4265       79.8975
       3.40100       43.6763       49.1479       58.5902       55.7071       78.6146
       3.60100       44.3269       49.7031       58.6165       55.9490       77.3523
       3.80100       44.9388       50.2019       58.5949       56.1388       76.1115
       4.00100       45.5019       50.6351       58.5198       56.2694       74.8907
       4.20100       45.9938       50.9830       58.3805       56.3264       73.6886
       4.40100       46.4062       51.2408       58.1740       56.3055       72.4978
       4.60100       46.7550       51.4252       57.9106       56.2194       71.3115
       4.80100       47.0349       51.5345       57.5898       56.0678       70.1306
       5.00100       47.2403       51.5664       57.2118       55.8507       68.9572
       5.20100       47.3859       51.5354       56.7886       55.5808       67.7915
       5.40100       47.4885       51.4575       56.3330       55.2717       66.6328
       5.60100       47.5475       51.3318       55.8429       54.9216       65.4721
       5.80100       47.5216       51.1144       55.2700       54.4828       64.2491
       6.00100       47.3872       50.7802       54.5872       53.9279       62.9284
       6.20100       47.1510       50.3374       53.8046       53.2661       61.5207
       6.40100       46.8166       49.7921       52.9305       52.5048       60.0382
       6.60100       46.3861       49.1490       51.9725       51.6506       58.4924
       6.80100       45.8608       48.4123       50.9372       50.7095       56.8946
       7.00100       45.2391       47.5842       49.8299       49.6860       55.2557
       7.20100       44.5408       46.6826       48.6661       48.5955       53.5810
       7.40100       43.8232       45.7523       47.4788       47.4699       51.8653
       7.60100       43.2026       44.8784       46.3274       46.3649       50.0868
       7.80100       42.9833       44.2731       45.3509       45.4086       48.1729
