      altitude      01:08:26      01:20:08      01:31:36      01:43:08      01:54:44
    0.00100000       4.04715       4.61348       4.93485       5.66189       5.52526
      0.201000       2.86881       3.27374       3.53113       4.07051       3.96263
      0.401000       1.55046       1.76132       1.99841       2.34165       2.25128
      0.601000       2.02128       2.27813       2.61537       3.08313       2.98912
      0.801000       2.36153       2.65166       3.00827       3.58812       3.52130
       1.00100       2.60370       2.92295       3.29153       3.94548       3.90265
       1.20100       2.81082       3.15857       3.54115       4.25467       4.23075
       1.40100       3.00528       3.38188       3.78065       4.54934       4.54174
       1.60100       3.19527       3.60152       4.01831       4.84121       4.84882
       1.80100       3.37567       3.81161       4.24715       5.12274       5.14523
       2.00100       3.54989       4.01579       4.47090       5.39848       5.43592
       2.20100       3.71968       4.21603       4.69160       5.67101       5.72370
       2.40100       3.88868       4.41644       4.91373       5.94567       6.01406
       2.60100       4.05642       4.61653       5.13677       6.22192       6.30656
       2.80100       4.22049       4.81371       5.35791       6.49654       6.59799
       3.00100       4.38247       5.00984       5.57930       6.77217       6.89108
       3.20100       4.50051       5.15705       5.74763       6.98403       7.11977
       3.40100       4.64145       5.33116       5.94676       7.23256       7.38614
       3.60100       4.78623       5.51099       6.15369       7.49108       7.66321
       3.80100       4.93244       5.69370       6.36520       7.75557       7.94695
       4.00100       5.07987       5.87890       6.58076       8.02522       8.23649
       4.20100       5.22381       6.06081       6.79390       8.29184       8.52280
       4.40100       5.36222       6.23693       7.00163       8.55173       8.80199
       4.60100       5.50018       6.41315       7.21025       8.81278       9.08295
       4.80100       5.63364       6.58485       7.41463       9.06913       9.35995
       5.00100       5.75712       6.74584       7.60796       9.31295       9.62506
       5.20100       5.87544       6.90158       7.79626       9.55134       9.88561
       5.40100       5.99529       7.05975       7.98807       9.79440       10.1520
       5.60100       6.11725       7.22111       8.18427       10.0433       10.4256
       5.80100       6.23677       7.38032       8.37882       10.2906       10.6986
       6.00100       6.35333       7.53660       8.57075       10.5349       10.9695
       6.20100       6.46976       7.69323       8.76363       10.7802       11.2425
       6.40100       6.58671       7.85089       8.95820       11.0273       11.5182
       6.60100       6.70393       8.00921       9.15395       11.2755       11.7959
       6.80100       6.81901       8.16528       9.34756       11.5206       12.0714
       7.00100       6.91976       8.30560       9.52463       11.7470       12.3285
       7.20100       7.00856       8.43486       9.69199       11.9655       12.5791
       7.40100       7.13771       8.61778       9.92463       12.2673       12.9184
       7.60100       7.52399       9.10737       10.5031       12.9720       13.6742
       7.80100       9.37329       11.2207       12.8156       15.5431       16.3205
