      altitude      06:08:26      06:20:00      06:31:47      06:43:18      06:54:47
    0.00100000       163.111       204.073       188.763       222.330       110.985
      0.201000       210.858       223.350       225.566       197.962       121.821
      0.401000       213.728       136.433       168.447       86.7958       121.919
      0.601000       89.9799       57.2768       61.0439       48.3710       51.3490
      0.801000       70.1205       47.7356       49.0240       44.5262       42.0566
       1.00100       66.4761       47.6690       48.4870       46.3011       43.0116
       1.20100       67.1802       49.9613       50.6922       49.4750       46.7833
       1.40100       69.3646       53.0293       53.7577       53.0754       51.4862
       1.60100       72.1450       56.4328       57.1618       56.8476       56.4813
       1.80100       75.2146       60.0099       60.7202       60.7114       61.5413
       2.00100       78.4987       63.7245       64.4024       64.7195       66.7810
       2.20100       82.0747       67.5877       68.2679       69.1032       72.8666
       2.40100       86.2756       71.6856       72.5646       74.6013       81.9900
       2.60100       92.0846       76.2972       78.0602       83.5012       101.520
       2.80100       102.298       82.2721       87.1078       103.496       162.920
       3.00100       125.469       92.1330       107.449       167.614       497.030
       3.20100       191.905       112.728       169.547       511.901       4899.89
       3.40100       475.873       175.944       490.403       4538.51       1030.56
       3.60100       2134.50       473.213       3872.83       1233.67       279.189
       3.80100       602.362       2729.78       832.611       315.809       148.564
       4.00100       230.966       919.769       252.781       158.335       112.176
       4.20100       142.049       285.393       141.612       115.522       98.8034
       4.40100       112.710       153.873       108.940       99.9920       92.8209
       4.60100       100.632       114.970       96.5735       93.1824       89.5355
       4.80100       94.6429       100.198       90.9458       89.5740       87.2774
       5.00100       91.0233       93.4790       87.8225       87.2064       85.4126
       5.20100       88.3404       89.7636       85.6371       85.2956       83.6716
       5.40100       86.0071       87.1832       83.7645       83.5131       81.9367
       5.60100       83.7807       84.9937       81.9500       81.7213       80.1577
       5.80100       81.4957       82.8241       80.0269       79.8003       78.2515
       6.00100       79.0760       80.5143       77.9204       77.6931       76.1755
       6.20100       76.5333       78.0457       75.6440       75.4195       73.9525
       6.40100       73.8974       75.4414       73.2303       73.0134       71.6146
       6.60100       71.2022       72.7384       70.7168       70.5118       69.1946
       6.80100       68.4803       69.9765       68.1406       67.9506       66.7238
       7.00100       65.7629       67.1949       65.5376       65.3642       64.2326
       7.20100       63.0328       64.3769       62.8954       62.7401       61.7094
       7.40100       60.1978       61.4192       60.1260       59.9907       59.0764
       7.60100       57.0707       58.1098       57.0444       56.9332       56.1688
       7.80100       53.2112       53.9559       53.2096       53.1318       52.5888
