      altitude      06:08:26      06:20:00      06:31:47      06:43:18      06:54:47
    0.00100000       27.0534       27.6694       27.8540       28.2498       29.6769
      0.201000       24.6361       25.0974       25.3783       25.7468       26.6587
      0.401000       23.1017       22.7950       23.8007       24.0314       21.1666
      0.601000       31.3598       31.0322       31.5744       31.6320       29.3753
      0.801000       33.4262       33.3036       33.6941       33.7938       32.4386
       1.00100       34.4289       34.4003       34.6860       34.7986       34.0634
       1.20100       35.0963       35.1051       35.3195       35.4286       35.0269
       1.40100       35.5836       35.6074       35.7762       35.8766       35.6483
       1.60100       35.9538       35.9843       36.1248       36.2162       36.0806
       1.80100       36.2372       36.2716       36.3949       36.4784       36.3942
       2.00100       36.4610       36.4984       36.6113       36.6882       36.6335
       2.20100       36.6437       36.6837       36.7900       36.8612       36.8238
       2.40100       36.7984       36.8406       36.9425       37.0086       36.9811
       2.60100       36.9317       36.9760       37.0743       37.1360       37.1141
       2.80100       37.0479       37.0938       37.1892       37.2468       37.2277
       3.00100       37.1503       37.1973       37.2898       37.3435       37.3257
       3.20100       36.8455       36.8925       36.9808       37.0300       37.0129
       3.40100       36.5146       36.5607       36.6436       36.6882       36.6714
       3.60100       36.1542       36.1986       36.2758       36.3159       36.2995
       3.80100       35.7655       35.8078       35.8792       35.9150       35.8990
       4.00100       35.3511       35.3909       35.4566       35.4884       35.4730
       4.20100       34.9134       34.9506       35.0108       35.0391       35.0243
       4.40100       34.4556       34.4901       34.5450       34.5701       34.5561
       4.60100       33.9814       34.0132       34.0632       34.0855       34.0723
       4.80100       33.4933       33.5226       33.5681       33.5879       33.5756
       5.00100       32.9939       33.0210       33.0624       33.0800       33.0686
       5.20100       32.4868       32.5118       32.5495       32.5652       32.5547
       5.40100       31.9754       31.9984       32.0327       32.0467       32.0370
       5.60100       31.4573       31.4784       31.5095       31.5220       31.5131
       5.80100       30.9050       30.9243       30.9524       30.9634       30.9553
       6.00100       30.3030       30.3205       30.3457       30.3555       30.3482
       6.20100       29.6574       29.6732       29.6956       29.7042       29.6977
       6.40100       28.9743       28.9884       29.0083       29.0158       29.0101
       6.60100       28.2594       28.2720       28.2894       28.2959       28.2910
       6.80100       27.5180       27.5290       27.5442       27.5498       27.5456
       7.00100       26.7547       26.7644       26.7776       26.7824       26.7788
       7.20100       25.9749       25.9833       25.9946       25.9987       25.9957
       7.40100       25.1842       25.1913       25.2007       25.2042       25.2017
       7.60100       24.3892       24.3947       24.4019       24.4045       24.4027
       7.80100       23.5953       23.5986       23.6028       23.6043       23.6033
