      altitude      04:01:44      04:13:17      04:24:44      04:36:17      04:47:50
    0.00100000       26.9704       52.0694       45.7502       77.1149       81.0467
      0.201000       26.0408       47.5136       45.2787       75.8173       76.5585
      0.401000       42.6427       43.5666       60.3410       71.8466       62.6252
      0.601000       51.5941       46.4544       68.5296       71.0372       64.2967
      0.801000       56.0608       50.6313       73.9004       72.5351       69.1116
       1.00100       58.6344       55.2125       78.2785       75.1833       74.7681
       1.20100       60.4581       60.0447       82.3636       78.4694       80.6418
       1.40100       61.9780       65.1288       86.3831       82.1497       86.5072
       1.60100       63.3615       70.4826       90.3785       86.0824       92.2282
       1.80100       64.6541       76.1123       94.3475       90.1849       97.7139
       2.00100       65.8856       82.0425       98.2443       94.3837       102.857
       2.20100       67.0712       88.2972       102.009       98.6088       107.550
       2.40100       68.2217       94.8869       105.563       102.775       111.669
       2.60100       69.3380       101.810       108.838       106.802       115.130
       2.80100       70.4180       109.041       111.772       110.606       117.880
       3.00100       71.4606       116.438       114.251       114.038       119.827
       3.20100       71.6917       122.330       114.850       115.616       119.547
       3.40100       71.8240       127.161       114.464       116.143       118.080
       3.60100       71.8426       130.669       113.272       115.734       115.757
       3.80100       71.7429       132.608       111.427       114.500       112.845
       4.00100       71.5223       132.838       109.073       112.569       109.565
       4.20100       71.1710       131.384       106.346       110.074       106.091
       4.40100       70.6947       128.558       103.394       107.195       102.569
       4.60100       70.1194       124.837       100.349       104.115       99.1030
       4.80100       69.4629       120.668       97.3282       100.993       95.7756
       5.00100       68.7403       116.373       94.4011       97.9281       92.6303
       5.20100       67.9616       112.059       91.5621       94.9277       89.6425
       5.40100       67.1333       107.751       88.7871       91.9726       86.7760
       5.60100       66.2516       103.479       86.0597       89.0519       84.0042
       5.80100       65.2591       99.1835       83.3006       86.0887       81.2417
       6.00100       64.1225       94.8330       80.4637       83.0392       78.4369
       6.20100       62.8552       90.4731       77.5691       79.9281       75.6035
       6.40100       61.4725       86.1589       74.6451       76.7893       72.7631
       6.60100       59.9900       81.9380       71.7198       73.6556       69.9373
       6.80100       58.4233       77.8479       68.8183       70.5559       67.1455
       7.00100       56.7881       73.9170       65.9641       67.5164       64.4062
       7.20100       55.0890       70.0846       63.1325       64.5075       61.6976
       7.40100       53.3079       66.1671       60.2256       61.4163       58.9364
       7.60100       51.3905       61.8485       57.0538       58.0291       55.9609
       7.80100       49.1806       56.4657       53.1789       53.8596       52.3919
