      altitude      04:01:44      04:13:17      04:24:44      04:36:17      04:47:50
    0.00100000       23.2849       23.0761       23.1685       23.2983       23.2003
      0.201000       22.4150       22.2022       22.2673       22.3637       22.2939
      0.401000       31.7441       31.1983       31.3328       31.4983       31.3534
      0.601000       32.8220       32.4094       32.4971       32.6547       32.6535
      0.801000       33.7379       33.4931       33.5357       33.6403       33.7068
       1.00100       34.5596       34.4188       34.4375       34.5031       34.5774
       1.20100       35.1962       35.1073       35.1154       35.1604       35.2235
       1.40100       35.6688       35.6022       35.6063       35.6425       35.6935
       1.60100       36.0209       35.9618       35.9652       35.9988       36.0415
       1.80100       36.2822       36.2237       36.2281       36.2619       36.3008
       2.00100       36.4820       36.4215       36.4275       36.4628       36.5013
       2.20100       36.6403       36.5771       36.5851       36.6220       36.6624
       2.40100       36.7714       36.7059       36.7160       36.7543       36.7980
       2.60100       36.8831       36.8158       36.8280       36.8671       36.9148
       2.80100       36.9797       36.9114       36.9256       36.9652       37.0171
       3.00100       37.0651       36.9965       37.0126       37.0520       37.1079
       3.20100       36.7474       36.6803       36.6977       36.7359       36.7945
       3.40100       36.4078       36.3435       36.3618       36.3981       36.4578
       3.60100       36.0421       35.9814       36.0001       36.0340       36.0939
       3.80100       35.6510       35.5942       35.6131       35.6444       35.7034
       4.00100       35.2366       35.1839       35.2027       35.2313       35.2887
       4.20100       34.8010       34.7524       34.7708       34.7969       34.8520
       4.40100       34.3468       34.3022       34.3201       34.3438       34.3961
       4.60100       33.8771       33.8363       33.8535       33.8750       33.9244
       4.80100       33.3940       33.3567       33.3731       33.3925       33.4390
       5.00100       32.8995       32.8654       32.8812       32.8988       32.9424
       5.20100       32.3975       32.3663       32.3813       32.3973       32.4382
       5.40100       31.8912       31.8628       31.8770       31.8915       31.9296
       5.60100       31.3784       31.3525       31.3660       31.3790       31.4145
       5.80100       30.8315       30.8082       30.8208       30.8325       30.8653
       6.00100       30.2352       30.2142       30.2259       30.2364       30.2664
       6.20100       29.5954       29.5766       29.5874       29.5967       29.6240
       6.40100       28.9181       28.9015       28.9113       28.9195       28.9442
       6.60100       28.2088       28.1942       28.2032       28.2104       28.2324
       6.80100       27.4728       27.4601       27.4681       27.4744       27.4939
       7.00100       26.7147       26.7036       26.7108       26.7162       26.7334
       7.20100       25.9398       25.9303       25.9366       25.9413       25.9563
       7.40100       25.1545       25.1465       25.1519       25.1558       25.1685
       7.60100       24.3660       24.3599       24.3641       24.3671       24.3770
       7.80100       23.5816       23.5780       23.5806       23.5823       23.5881
