      altitude      05:10:52      05:22:24      05:33:55      05:45:29      05:56:54
    0.00100000       120.295       150.632       175.705       130.192       191.737
      0.201000       121.418       133.564       149.936       140.838       238.811
      0.401000       93.5005       69.6271       68.7037       120.286       189.156
      0.601000       63.4167       58.8579       55.3642       72.1146       76.5047
      0.801000       62.0085       61.8931       57.4481       64.0819       61.0685
       1.00100       66.3487       68.0952       62.3194       64.0379       59.0523
       1.20100       72.4851       75.3713       67.8745       66.3584       60.4766
       1.40100       79.4674       83.2781       73.6559       69.5466       63.0317
       1.60100       87.0755       91.7983       79.5797       73.1273       66.0340
       1.80100       95.3323       101.099       85.6847       76.9348       69.2420
       2.00100       104.350       111.455       92.1288       80.9445       72.5880
       2.20100       114.291       123.292       99.3193       85.2452       76.0791
       2.40100       125.327       137.212       108.268       90.1431       79.8184
       2.60100       137.627       154.064       121.526       96.5069       84.1381
       2.80100       151.210       174.672       145.646       106.705       89.9992
       3.00100       165.497       198.688       198.621       127.458       100.126
       3.20100       176.859       220.109       329.708       179.030       121.617
       3.40100       183.869       232.553       634.174       353.522       186.449
       3.60100       185.153       230.780       753.775       1066.93       471.452
       3.80100       180.660       216.093       425.497       1113.10       2274.29
       4.00100       171.829       195.178       241.246       397.622       585.709
       4.20100       160.765       174.234       167.166       198.217       221.621
       4.40100       149.370       156.297       134.947       137.446       136.768
       4.60100       138.805       141.922       118.936       114.196       109.073
       4.80100       129.553       130.634       109.773       103.505       97.7832
       5.00100       121.642       121.703       103.724       97.6379       92.2460
       5.20100       114.805       114.390       99.1371       93.7316       88.8947
       5.40100       108.759       108.147       95.2499       90.6231       86.3712
       5.60100       103.305       102.638       91.7171       87.8286       84.1317
       5.80100       98.2232       97.5696       88.3065       85.0759       81.8894
       6.00100       93.3723       92.7641       84.9021       82.2427       79.5193
       6.20100       88.7178       88.1684       81.4962       79.3239       77.0151
       6.40100       84.2556       83.7683       78.1072       76.3446       74.4018
       6.60100       79.9894       79.5626       74.7600       73.3376       71.7136
       6.80100       75.9239       75.5533       71.4784       70.3357       68.9856
       7.00100       72.0643       71.7444       68.2849       67.3695       66.2519
       7.20100       68.3427       68.0692       65.1438       64.4143       63.4959
       7.40100       64.5886       64.3603       61.9337       61.3618       60.6220
       7.60100       60.5169       60.3372       58.4247       58.0008       57.4343
       7.80100       55.5280       55.4077       54.1197       53.8477       53.4738
