      altitude      05:10:52      05:22:24      05:33:55      05:45:29      05:56:54
    0.00100000       26.9519       26.7609       26.8437       27.0910       27.1098
      0.201000       24.5044       24.3857       24.4839       24.7255       24.7832
      0.401000       21.8408       21.7447       22.7111       24.0009       24.3713
      0.601000       30.6014       30.5280       31.1420       31.8205       32.0179
      0.801000       33.0685       33.0435       33.3843       33.6667       33.8047
       1.00100       34.2362       34.2515       34.4405       34.5653       34.6656
       1.20100       34.9784       35.0110       35.1224       35.1793       35.2540
       1.40100       35.5055       35.5436       35.6153       35.6391       35.6971
       1.60100       35.9001       35.9391       35.9899       35.9953       36.0429
       1.80100       36.1997       36.2383       36.2780       36.2716       36.3132
       2.00100       36.4351       36.4733       36.5068       36.4919       36.5302
       2.20100       36.6262       36.6641       36.6941       36.6727       36.7093
       2.40100       36.7870       36.8249       36.8528       36.8261       36.8620
       2.60100       36.9249       36.9628       36.9893       36.9584       36.9942
       2.80100       37.0444       37.0823       37.1078       37.0736       37.1095
       3.00100       37.1490       37.1867       37.2115       37.1750       37.2108
       3.20100       36.8456       36.8825       36.9063       36.8687       36.9040
       3.40100       36.5155       36.5510       36.5735       36.5361       36.5702
       3.60100       36.1553       36.1890       36.2103       36.1738       36.2065
       3.80100       35.7664       35.7981       35.8181       35.7831       35.8142
       4.00100       35.3515       35.3811       35.3999       35.3668       35.3960
       4.20100       34.9132       34.9407       34.9582       34.9273       34.9547
       4.40100       34.4548       34.4802       34.4965       34.4678       34.4933
       4.60100       33.9801       34.0034       34.0185       33.9920       34.0157
       4.80100       33.4915       33.5130       33.5270       33.5025       33.5245
       5.00100       32.9917       33.0115       33.0244       33.0018       33.0222
       5.20100       32.4843       32.5025       32.5145       32.4937       32.5125
       5.40100       31.9726       31.9893       32.0004       31.9812       31.9986
       5.60100       31.4543       31.4696       31.4797       31.4622       31.4782
       5.80100       30.9019       30.9158       30.9251       30.9091       30.9237
       6.00100       30.2998       30.3125       30.3208       30.3063       30.3196
       6.20100       29.6543       29.6656       29.6731       29.6601       29.6721
       6.40100       28.9712       28.9813       28.9880       28.9764       28.9871
       6.60100       28.2565       28.2654       28.2713       28.2610       28.2705
       6.80100       27.5151       27.5230       27.5282       27.5191       27.5275
       7.00100       26.7520       26.7589       26.7635       26.7555       26.7628
       7.20100       25.9724       25.9784       25.9823       25.9754       25.9817
       7.40100       25.1820       25.1870       25.1904       25.1845       25.1899
       7.60100       24.3874       24.3913       24.3938       24.3893       24.3935
       7.80100       23.5943       23.5965       23.5980       23.5954       23.5978
