      altitude      02:06:09      02:17:49      02:29:20      02:40:57      02:52:31
    0.00100000       28.3799       27.7761       27.5900       27.5867       27.4152
      0.201000       25.6228       25.1029       24.8902       24.9400       24.7901
      0.401000       22.5187       22.4743       21.2774       21.7220       21.2650
      0.601000       30.6417       30.6187       29.9037       30.2606       29.9931
      0.801000       32.8394       32.6989       32.2939       32.5430       32.4041
       1.00100       33.9842       33.8543       33.5915       33.7597       33.6804
       1.20100       34.7554       34.6596       34.4726       34.5877       34.5408
       1.40100       35.3074       35.2378       35.0956       35.1798       35.1519
       1.60100       35.7144       35.6596       35.5455       35.6134       35.5969
       1.80100       36.0165       35.9675       35.8716       35.9323       35.9224
       2.00100       36.2489       36.1998       36.1163       36.1747       36.1686
       2.20100       36.4349       36.3823       36.3075       36.3663       36.3621
       2.40100       36.5905       36.5330       36.4646       36.5248       36.5212
       2.60100       36.7242       36.6611       36.5977       36.6597       36.6557
       2.80100       36.8408       36.7723       36.7126       36.7763       36.7716
       3.00100       36.9445       36.8712       36.8145       36.8795       36.8736
       3.20100       36.6450       36.5689       36.5155       36.5804       36.5731
       3.40100       36.3227       36.2458       36.1959       36.2592       36.2508
       3.60100       35.9727       35.8964       35.8498       35.9108       35.9014
       3.80100       35.5955       35.5210       35.4775       35.5355       35.5252
       4.00100       35.1932       35.1214       35.0809       35.1354       35.1244
       4.20100       34.7679       34.6996       34.6618       34.7127       34.7011
       4.40100       34.3222       34.2578       34.2226       34.2697       34.2579
       4.60100       33.8594       33.7993       33.7664       33.8098       33.7980
       4.80100       33.3818       33.3258       33.2952       33.3351       33.3234
       5.00100       32.8919       32.8398       32.8112       32.8479       32.8364
       5.20100       32.3935       32.3451       32.3184       32.3521       32.3408
       5.40100       31.8901       31.8454       31.8205       31.8514       31.8404
       5.60100       31.3796       31.3384       31.3153       31.3435       31.3329
       5.80100       30.8346       30.7968       30.7754       30.8011       30.7910
       6.00100       30.2396       30.2053       30.1856       30.2087       30.1992
       6.20100       29.6008       29.5697       29.5518       29.5725       29.5636
       6.40100       28.9241       28.8963       28.8801       28.8985       28.8902
       6.60100       28.2151       28.1905       28.1759       28.1921       28.1846
       6.80100       27.4792       27.4575       27.4445       27.4587       27.4518
       7.00100       26.7210       26.7019       26.6904       26.7028       26.6966
       7.20100       25.9458       25.9292       25.9192       25.9298       25.9243
       7.40100       25.1599       25.1460       25.1374       25.1463       25.1416
       7.60100       24.3705       24.3597       24.3530       24.3599       24.3561
       7.80100       23.5844       23.5780       23.5741       23.5781       23.5758
