      altitude      00:05:05      00:22:07      00:33:52      00:45:23      00:56:58
    0.00100000      -9999.00       33.7468       32.8825       31.6275       31.0872
      0.201000      -9999.00       31.3979       30.5166       29.0421       28.4672
      0.401000      -9999.00       27.9947       27.8891       26.4077       25.9389
      0.601000      -9999.00       33.1087       33.1572       32.6028       32.3635
      0.801000      -9999.00       34.9375       34.7635       34.3334       34.1141
       1.00100      -9999.00       35.7835       35.5059       35.1276       34.9370
       1.20100      -9999.00       36.2849       35.9766       35.6423       35.4807
       1.40100      -9999.00       36.6261       36.3194       36.0224       35.8841
       1.60100      -9999.00       36.8768       36.5850       36.3185       36.1979
       1.80100      -9999.00       37.0658       36.7933       36.5508       36.4436
       2.00100      -9999.00       37.2133       36.9615       36.7387       36.6416
       2.20100      -9999.00       37.3320       37.1007       36.8946       36.8058
       2.40100      -9999.00       37.4304       37.2190       37.0281       36.9465
       2.60100      -9999.00       37.5132       37.3207       37.1438       37.0688
       2.80100      -9999.00       37.5834       37.4085       37.2446       37.1757
       3.00100      -9999.00       37.6426       37.4841       37.3328       37.2698
       3.20100      -9999.00       37.2908       37.1494       37.0121       36.9556
       3.40100      -9999.00       36.9116       36.7873       36.6645       36.6148
       3.60100      -9999.00       36.5049       36.3964       36.2876       36.2445
       3.80100      -9999.00       36.0731       35.9790       35.8834       35.8464
       4.00100      -9999.00       35.6194       35.5380       35.4545       35.4231
       4.20100      -9999.00       35.1466       35.0764       35.0036       34.9773
       4.40100      -9999.00       34.6576       34.5971       34.5339       34.5119
       4.60100      -9999.00       34.1559       34.1037       34.0489       34.0307
       4.80100      -9999.00       33.6437       33.5988       33.5513       33.5364
       5.00100      -9999.00       33.1234       33.0848       33.0437       33.0316
       5.20100      -9999.00       32.5982       32.5650       32.5294       32.5197
       5.40100      -9999.00       32.0707       32.0423       32.0117       32.0040
       5.60100      -9999.00       31.5384       31.5142       31.4880       31.4821
       5.80100      -9999.00       30.9734       30.9531       30.9307       30.9263
       6.00100      -9999.00       30.3601       30.3432       30.3243       30.3212
       6.20100      -9999.00       29.7045       29.6906       29.6748       29.6728
       6.40100      -9999.00       29.0127       29.0014       28.9884       28.9873
       6.60100      -9999.00       28.2903       28.2813       28.2706       28.2702
       6.80100      -9999.00       27.5424       27.5353       27.5267       27.5268
       7.00100      -9999.00       26.7738       26.7683       26.7614       26.7620
       7.20100      -9999.00       25.9895       25.9853       25.9799       25.9807
       7.40100      -9999.00       25.1950       25.1919       25.1879       25.1888
       7.60100      -9999.00       24.3964       24.3944       24.3916       24.3925
       7.80100      -9999.00       23.5991       23.5980       23.5965       23.5972
