      altitude      00:05:05      00:22:07      00:33:52      00:45:23      00:56:58
    0.00100000      -9999.00       3.17420       4.02274       3.65868       4.13071
      0.201000      -9999.00       2.26441       2.88554       2.60800       2.95263
      0.401000      -9999.00       1.31474       1.70574       1.48481       1.69485
      0.601000      -9999.00       1.85739       2.33999       1.99986       2.26574
      0.801000      -9999.00       2.26435       2.75734       2.33579       2.63010
       1.00100      -9999.00       2.53902       3.03037       2.55939       2.87553
       1.20100      -9999.00       2.75553       3.25037       2.74398       3.08088
       1.40100      -9999.00       2.94576       3.44949       2.91377       3.27174
       1.60100      -9999.00       3.12259       3.63938       3.07746       3.45720
       1.80100      -9999.00       3.28332       3.81530       3.23047       3.63192
       2.00100      -9999.00       3.43243       3.98151       3.37628       3.79962
       2.20100      -9999.00       3.57211       4.13997       3.51652       3.96215
       2.40100      -9999.00       3.70614       4.29449       3.65457       4.12328
       2.60100      -9999.00       3.83426       4.44428       3.78982       4.28241
       2.80100      -9999.00       3.95442       4.58659       3.91990       4.43692
       3.00100      -9999.00       4.06844       4.72309       4.04622       4.58843
       3.20100      -9999.00       4.13824       4.80914       4.13036       4.69327
       3.40100      -9999.00       4.22654       4.91667       4.23436       4.82123
       3.60100      -9999.00       4.31564       5.02549       4.34036       4.95248
       3.80100      -9999.00       4.40357       5.13318       4.44623       5.08445
       4.00100      -9999.00       4.49056       5.23989       4.55201       5.21702
       4.20100      -9999.00       4.57418       5.34242       4.65438       5.34599
       4.40100      -9999.00       4.65318       5.43917       4.75176       5.46939
       4.60100      -9999.00       4.73058       5.53402       4.84794       5.59179
       4.80100      -9999.00       4.80247       5.62266       4.93914       5.70899
       5.00100      -9999.00       4.86398       5.69967       5.02049       5.81547
       5.20100      -9999.00       4.91926       5.76987       5.09628       5.91610
       5.40100      -9999.00       4.97400       5.83987       5.17243       6.01762
       5.60100      -9999.00       5.02855       5.91019       5.24939       6.12060
       5.80100      -9999.00       5.07912       5.97642       5.32325       6.22047
       6.00100      -9999.00       5.12537       6.03815       5.39367       6.31675
       6.20100      -9999.00       5.16973       6.09821       5.46317       6.41230
       6.40100      -9999.00       5.21272       6.15724       5.53234       6.50776
       6.60100      -9999.00       5.25427       6.21513       5.60107       6.60293
       6.80100      -9999.00       5.29260       6.26971       5.66745       6.69546
       7.00100      -9999.00       5.31750       6.30946       5.72073       6.77329
       7.20100      -9999.00       5.32914       6.33583       5.76160       6.83857
       7.40100      -9999.00       5.36437       6.39480       5.83097       6.94199
       7.60100      -9999.00       5.58855       6.68197       6.10869       7.29481
       7.80100      -9999.00       7.01628       8.32655       7.66792       9.08311
